,No.,Is retweet?,Tweet ID,Post Date,User Display Name,User ID,User Info,User Location,Tweet Content,Number of Quotes,Number of Replies,Number of Likes,Number of Retweets,Raw link 1,Solved link 1,Raw link 2,Solved link 2,Raw link 3,Solved link 3,Raw link 4,Solved link 4,Raw link 5,Solved link 5,proccessed_tweet
464,465,Yes,1281265581027586048,Thu Jul 09 16:34:53 +0000 2020,#Free-Palestine-movement,PalestiMovement,,,"who in their right mind would take a vaccine touted by a sadist and created by a program named ""warp speed""? I will take a vaccine Fauci gives a ""thumbs up""!

Democrats increasingly worry Trump will push out dangerous COVID-19 vaccine as ‘October surprise’ https://t.co/aRUO5lkHLC",0,0,0,0,,,,,,,,,,,"who in their right mind would take a vaccines touted by a sadist and created by a program named ""warp speed""? i will take a vaccines fauci gives a ""thumbs up""! democrats increasingly worry trump will push out dangerous covid-19 vaccines as october surprise"
465,466,Yes,1281265628293115904,Thu Jul 09 16:35:05 +0000 2020,Marilyn,stueleanor,,,"Serious neurological conditions are occurring in some people with #COVID19, even in those with apparently mild symptoms. The case vignettes in this study make grim reading. Some will never recover.

➡️ https://t.co/Krv2iqZXoC

Herd immunity (without a vaccine) is unconscionable.",0,0,0,0,,,,,,,,,,,serious neurological conditions are occurring in some people with even in those with apparently mild symptoms. the case vignettes in this study make grim reading. some will never recover. herd immunity (without a vaccines is unconscionable.
466,467,Yes,1281265635088007170,Thu Jul 09 16:35:06 +0000 2020,TRUMP 2020,GeneralFRS,A Deplorable Realist Conservative 🇺🇸joined in 2016🇺🇸Dog lover✝️DRAIN THE SWAMP!!!🇺🇸Bring GOD back / PRO-LiFE🇺🇸@NRA🇺🇸Pro #1A & #2A,,"Wonder if people will be shaming me for refusing the Covid vaccine when it comes out?

 I will NEVER put that stuff in my veins. 

#IDoNotConsent",0,0,0,0,,,,,,,,,,,wonder if people will be shaming me for refusing the covid vaccines when it comes out? i will never put that stuff in my veins.
467,468,Yes,1281265639924080641,Thu Jul 09 16:35:07 +0000 2020,Corona Updates,CovidUpdatesEA,Corona updates tracker and information $$$ #COVID | #CORONA | #SARS | #MERS | #COV2 | #COVID-19 | #COVID19,,Coronavirus vaccine: Will it be ready by fall? Here's what's happening now https://t.co/5yNXtoVvGj https://t.co/OFtY2GvmVE,0,0,0,0,https://t.co/5yNXtoVvGj,https://cnet.co/2BVNpe6,,,,,,,,,coronavirus vaccines will it be ready by fall? here's what's happening now
468,469,No,1281265642688184331,Thu Jul 09 16:35:08 +0000 2020,Yasmin,Yasthetwit,"""Maybe you are searching among the branches, for what only appears in the roots"" -Rumi","Not actually in Tehran, Iran","""Instead of providing protection as claimed, vaccines time and again cause diseases they’re supposed to prevent.

Around 120 COVID-19 vaccine development projects are underway""

#COVID19 https://t.co/UgVo9D9Rt5",0,0,0,0,https://t.co/vYrT0uUE3d,https://twitter.com/i/web/status/1281265642688184331,https://t.co/UgVo9D9Rt5,https://www.globalresearch.ca/mass-vaxxing-breach-nuremberg-code/5718027,,,,,,,"""instead of providing protection as claimed, vaccines time and again cause diseases theyre supposed to prevent. around 120 covid-19 vaccines development projects are underway"""
469,470,Yes,1281265642893606915,Thu Jul 09 16:35:08 +0000 2020,flexasaurus,HotTamalesOn,punheta mundo,"Okaga, CA","Kanye West on vaccines:

""So when they say the way we’re going to fix Covid is with a vaccine, I’m extremely cautious. That’s the mark of the beast. They want to put chips inside of us, they want to do all kinds of things, to make it where we can’t cross the gates of heaven."" https://t.co/WVTn5tM3q2",0,0,0,0,,,,,,,,,,,"kanye west on vaccines ""so when they say the way were going to fix covid is with a vaccines im extremely cautious. thats the mark of the beast. they want to put chips inside of us, they want to do all kinds of things, to make it where we cant cross the gates of heaven."""
470,471,No,1281265648576823296,Thu Jul 09 16:35:10 +0000 2020,Taylor Marina,tmarina9s,"dreamer, believer, lover of books, movies and life.","Seatte, WA",Fingers crossed for a #coronavirus vaccine by December so everything is back to normal for my 30th birthday at @Disneyland! #FyouCOVID. #returntonormal,0,0,0,0,https://t.co/jVNUzqCt8i,https://twitter.com/i/web/status/1281265648576823296,,,,,,,,,fingers crossed for a vaccines by december so everything is back to normal for my 30th bihday at
471,472,Yes,1281265651328278529,Thu Jul 09 16:35:10 +0000 2020,cedar plank poonani,stalkmytweetsyo,"she/her, they/them",in my own little corner. ,Folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.,0,0,0,0,,,,,,,,,,,folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.
472,473,Yes,1281265653111013376,Thu Jul 09 16:35:11 +0000 2020,Vivaldinr1,Vivaldinr1,"Volgt alle jaargetijden het nieuws in Nederland, de wereld en het heelal.",Nederland,ALL VACCINES CONTAIN FETAL CELLS!! CORONAVACCIN CONTAINS A DNA ALTERING NANOCHIP! Anti-abortion groups say COVID-19 vaccines may use cells from human fetuses https://t.co/eCUadDMLwN,0,0,0,0,,,,,,,,,,,all vaccines contain fetal cells!! vaccines contains a dna altering nanochip! anti-aboion groups say covid-19 vaccines may use cells from human fetuses
473,474,Yes,1281265661168271363,Thu Jul 09 16:35:13 +0000 2020,KAG - no DMs please,HalliuYah,"America will never be destroyed from the outside. If we falter and lose our freedoms, it will be because we destroyed ourselves. - Abraham Lincoln",,"Philly Shootings Surge As 23 People Were Shot In a Single Day

Police statistics: 210 homicides, ⬆️27% year over year. On pace for highest annual murder tally since 1997

888 people shot in Philly this year thru July 5, ⬆️27% yr over yr &amp; ⬆️65% from 2015

https://t.co/CM4mbJ0V4O",0,0,0,0,,,,,,,,,,,"philly shootings surge as 23 people were shot in a single day police statistics: 210 homicides, 27% year over year. on pace for highest annual murder tally since 1997 888 people shot in philly this year thru july 5, 27% yr over yr &amp; 65% from 2015"
474,475,Yes,1281265669418467333,Thu Jul 09 16:35:15 +0000 2020,Kimberly,kimbrrle,"design student// “for the kid inside, til the end of time”// #BLM everyday",the Mirror of Erised w/ Grace ,"Kicking out international students is targeting GRAD STUDENTS. You WOULDN'T be getting your COVID vaccine without them. Across engineering alone, over 50% of grad students, i.e. PhD level researchers, are international.",0,0,0,0,,,,,,,,,,,"kicking out international students is targeting grad students. you wouldn't be getting your covid vaccines without them. across engineering alone, over 50% of grad students, i.e. phd level researchers, are international."
475,476,Yes,1281265669539901440,Thu Jul 09 16:35:15 +0000 2020,Naveen Kr. Prasad Adhivakta (#StayHome #StaySafe),advnaveen5,"Advocate & Legal Consultants Criminal & Civil Cases, Taxation $$$ पूर्व प्रदेश कार्यकारिणी सदस्य उत्तर प्रदेश(@abvpvoice) $$$ राष्ट्रीय स्वयंसेवक संघ @rssorg,@bjp4india","Greater Noida, G.B.Nagar (U.P)","India’s pharma industry is an asset not just for India but the entire world. Indian vaccines account for two-third of the vaccine needs of the children globally.

Our companies are active in collaboration with international efforts for development &amp; production of COVID19 vaccine. https://t.co/JvXfuNVkxv",0,0,0,0,,,,,,,,,,,indias pharma industry is an asset not just for india but the entire world. indian vaccines account for two-third of the vaccines needs of the children globally. our companies are active in collaboration with international effos for development &amp; production of covid19 vaccines
476,477,Yes,1281265681967845378,Thu Jul 09 16:35:18 +0000 2020,The one with the Ⓥ save the🐬🐋 🦈,thepowerofmeow,"🇵🇷 💚 #BlackLivesMatter #SaveTheSeamounts  - You might not care, even if you know, but you can’t care if you don’t know”🦈Dr Sylvia Earle 🐬🐟🐋","Cambridge, MA  San Juan, PR","Serious neurological conditions are occurring in some people with #COVID19, even in those with apparently mild symptoms. The case vignettes in this study make grim reading. Some will never recover.

➡️ https://t.co/Krv2iqZXoC

Herd immunity (without a vaccine) is unconscionable.",0,0,0,0,,,,,,,,,,,serious neurological conditions are occurring in some people with even in those with apparently mild symptoms. the case vignettes in this study make grim reading. some will never recover. herd immunity (without a vaccines is unconscionable.
477,478,Yes,1281265690129752070,Thu Jul 09 16:35:19 +0000 2020,M E Hubbs,meandrade454,PROUD TO BE AN AMERICAN! 🇺🇸American of Mexican🇲🇽 descent. 1st generation ♥️ If you love the U.S.A we will get along just fine :) #Qanon #MAGA #WWG1WGA,"Carpinteria, CA","""So many of our children are being vaccinated &amp; paralysed. When they say the way we’re going to fix covid is with a vaccine, I’m extremely cautious."" RT Kanye West takes anti-vaccine, anti-abortion stance in US presidential bid; 
https://t.co/yaDSu0SFxQ",0,0,0,0,,,,,,,,,,,"""so many of our children are being vaccines &amp; paralysed. when they say the way were going to fix covid is with a vaccines im extremely cautious."" kanye west takes vaccines anti-aboion stance in us presidential bid;"
478,479,Yes,1281265723168436225,Thu Jul 09 16:35:27 +0000 2020,#blacklivesmatter,beauregardBB,gaming:@crowqreau #breonnataylor,heshethey,Folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.,0,0,0,0,,,,,,,,,,,folks get on here talking about covid is a hoax so the govt can give out vaccines to implant chips in us. meanwhile they got like three alexa dots in the house.
479,480,Yes,1281265724967641088,Thu Jul 09 16:35:28 +0000 2020,David Soul,Bricoleur,"update July 5 2020.  $$$ Making the Titanic look like a small event,  the Débâcle Now is stunning. Yet Leadership Plan is nothing more than ""The Band Played On""",,"Like I got my fucking eye shot out and I live in a house with more people than spac because coronavirus and there is. Not. Room. For. Me. To. Grieve. 

Much less in front of my children

And lemme tell you getting shot is fucking traumatic, I’m pretty fucked up about it",0,0,0,0,,,,,,,,,,,"like i got my fucking eye shot out and i live in a house with more people than spac because coronavirus and there is. not. room. for. me. to. grieve. much less in front of my children and lemme tell you getting shot is fucking traumatic, im pretty fucked up about it"
480,481,Yes,1281265736615432192,Thu Jul 09 16:35:31 +0000 2020,sterowent,sterowent,please don't follow me. i retweet and like to the point of clutter. $$$ i'm here to consider the logic behind my and my opponent's views in fair discussion.,,"No national testing program. No adequate production of protective gear. No commitment to a free vaccine.
 
As almost every major country sees the spread of coronavirus decline, America's infections are spiking.
 
Trump's incompetence is killing people.",0,0,0,0,,,,,,,,,,,"no national testing program. no adequate production of protective gear. no commitment to a free vaccines as almost every major country sees the spread of coronavirus decline, america's infections are spiking. trump's incompetence is killing people."
481,482,No,1281265737097572352,Thu Jul 09 16:35:31 +0000 2020,BINGE,BINGEtheseries,"Created by @AngelaGulner, @YuriBaranovsky and @HLGStudios, Binge is a dark comedy about eating disorders & addiction -watch and share http://bingetheseries.com!","Los Angeles, CA","@adrian_horton Hi Adrian! Any interest in writing about our dark comedy miniseries about surviving eating disorders and... life... in the time of Covid. All shot in isolation. Thank you!

Binge - How to Lose Weight in the Apocalypse https://t.co/jegoVxdEqx",0,0,0,0,https://t.co/547VucdOj6,https://twitter.com/i/web/status/1281265737097572352,https://t.co/jegoVxdEqx,https://www.youtube.com/playlist?list=PLyiriQxmTdg49e3zx69PEmauFMrxY1A6P,,,,,,,hi adrian! any interest in writing about our dark comedy miniseries about surviving eating disorders and... life... in the time of covid. all shot in isolation. thank you! binge - how to lose weight in the apocalypse
482,483,Yes,1281265749886033922,Thu Jul 09 16:35:34 +0000 2020,Sapio,sapiocrazy,Sapiopoet $$$ Love Me Crazy or Love Me Like A Fox! INFJ / Recovery Acc; IFB ΜΟΛΩΝΛΑΒΕ $$$ #MAGA #KAG #TRUMP2020 #PATRIOT #CULT 45 🇺🇸🇮🇱  Followd by Gen Flynn,,"Philly Shootings Surge As 23 People Were Shot In a Single Day

Police statistics: 210 homicides, ⬆️27% year over year. On pace for highest annual murder tally since 1997

888 people shot in Philly this year thru July 5, ⬆️27% yr over yr &amp; ⬆️65% from 2015

https://t.co/CM4mbJ0V4O",0,0,0,0,,,,,,,,,,,"philly shootings surge as 23 people were shot in a single day police statistics: 210 homicides, 27% year over year. on pace for highest annual murder tally since 1997 888 people shot in philly this year thru july 5, 27% yr over yr &amp; 65% from 2015"
483,484,Yes,1281265756504612864,Thu Jul 09 16:35:35 +0000 2020,measly,_measly,,United States,How many of you are prepared to wear masks in public for the next 1-2 years. This is the latest claim by MSM. Again no scientific basis and all about control. We didn’t do that with other Coronaviruses (SARS/MERS) which disappeared even without a vaccine. SARS-CoV-2 could also.,0,0,0,0,,,,,,,,,,,how many of you are prepared to wear masks in public for the next 1-2 years. this is the latest claim by msm. again no scientific basis and all about control. we didnt do that with other coronaviruses (sars/mers) which disappeared even without a vaccines sars-cov-2 could also.
484,485,Yes,1281265770580848641,Thu Jul 09 16:35:39 +0000 2020,Kyle,KyleWooderboys,XFL Free Agent. 2006 TIME's Person of the Year. 100 Meter Dash Racewalking World Record Holder (32.68) @WooderBoys,,"The Wooderboys // 7.9

- DeSean Jackson &amp; Double Standards
- We get mad at @JoeGiglioSports again
- Pat Mahomes Half-Billion $ Man
- Sixers are the epitome of health
- Drip or Drown: Lil Huddy, Super Smash Bros. cancelled

Free Corona vaccine here --&gt; https://t.co/q2Zhjpl3hI https://t.co/78knCdlSQi",0,0,0,0,,,,,,,,,,,"the wooderboys // 7.9 - desean jackson &amp; double standards - we get mad at again - pat mahomes half-billion $ man - sixers are the epitome of health - drip or drown: lil huddy, super smash bros. cancelled free corona vaccines here --&gt;"
485,486,Yes,1281265782316564482,Thu Jul 09 16:35:41 +0000 2020,Ashutosh4336,ashutosh4336,Cyber Security Enthusiast 🖥️ $$$ WebDeveloper 🌐 $$$ Securing The Cloud ☁️ $$$ #nodejs #react #linux #angular,"Bhubaneshwar, India","Dear CM @Naveen_Odisha , what  about my young friends who have long been protesting with... #BPUTStapKaroNa  

Is #BPUT beyond COVID-19 ?

Have a look at the appended screen shot of a petition @Change . Mark the count of signatories...

May good sense prevail...
God bless...

SS https://t.co/0WXTGVhlhU",0,0,0,0,,,,,,,,,,,"dear cm , what about my young friends who have long been protesting with... is beyond covid-19 ? have a look at the appended screen shot of a petition . mark the count of signatories... may good sense prevail... god bless... ss"
486,487,No,1281265802784772097,Thu Jul 09 16:35:46 +0000 2020,ross,globalpawn,,,"Coronavirus sweeps summer camp, infects 82 campers, counselors and staff in Missouri https://t.co/KS1FZRaTO9 this virus is not going anywhere and more gathering more infections must wear mask and wash hands hope for the best till vaccine is found .",0,0,0,0,https://t.co/KS1FZRaTO9,https://www.nydailynews.com/coronavirus/ny-coronavirus-summer-camp-82-infected-missouri-kanakuk-kamps-closed-20200709-mjm52mznmrh7xfdbq66knjjjmm-story.html,https://t.co/0fMG5mFVU3,https://twitter.com/i/web/status/1281265802784772097,,,,,,,"coronavirus sweeps summer camp, infects 82 campers, counselors and staff in missouri this virus is not going anywhere and more gathering more infections must wear mask and wash hands hope for the best till vaccines is found ."
487,488,Yes,1281265806844637185,Thu Jul 09 16:35:47 +0000 2020,Prem Shankar Pandey,Prem10008,"Technical Consultant, Social activist, Critic, Short story writer, Thinker, Supporter of Woman Education & empowerment. ( Nation first )",India,"India’s pharma industry is an asset not just for India but the entire world. Indian vaccines account for two-third of the vaccine needs of the children globally.

Our companies are active in collaboration with international efforts for development &amp; production of COVID19 vaccine. https://t.co/tVqfi9cHJn",0,0,0,0,,,,,,,,,,,indias pharma industry is an asset not just for india but the entire world. indian vaccines account for two-third of the vaccines needs of the children globally. our companies are active in collaboration with international effos for development &amp; production of covid19 vaccines
488,489,Yes,1281265807117422603,Thu Jul 09 16:35:47 +0000 2020,doc. who,docwho23,"🇪🇺 Natural Scientist. „most important lesson from 1918 (Span. Flu) is to tell the truth“ John M. Barry. Flatten the curve is not enough, we need to stop it.",,"Serious neurological conditions are occurring in some people with #COVID19, even in those with apparently mild symptoms. The case vignettes in this study make grim reading. Some will never recover.

➡️ https://t.co/Krv2iqZXoC

Herd immunity (without a vaccine) is unconscionable.",0,0,0,0,,,,,,,,,,,serious neurological conditions are occurring in some people with even in those with apparently mild symptoms. the case vignettes in this study make grim reading. some will never recover. herd immunity (without a vaccines is unconscionable.
489,490,No,1281265810934083585,Thu Jul 09 16:35:48 +0000 2020,Azvivsnews⭐️⭐️⭐️,azvivsnews,The National Monument To Our Forefathers matrix symbolizes the only successful strategy of liberty ever carried out in the history of mankind. Her name is Faith,United States,Must have either had the flu in the past or received vaccines in the past! HUMMM,0,0,0,0,,,,,,,,,,,must have either had the flu in the past or received vaccines in the past! hummm
490,491,No,1281265882262654977,Thu Jul 09 16:36:05 +0000 2020,Democrat-Herald,dhnews,"Your source for news in Albany, Oregon.",Albany,"DEAR DR. ROACH: Is there any risk starting the two-step process for the new shingles vaccine given the COVID-19 virus? My husband had the original shingles vaccine, and he has also contracted shingles. Should he get the new vaccine? He… https://t.co/hEnHDH4TJK",0,0,0,0,https://t.co/uGrSumPOn2,https://twitter.com/i/web/status/1281265882262654977,https://t.co/hEnHDH4TJK,https://democratherald.com/lifestyles/columnists/to-your-good-health-covid-19-is-no-reason-to-skip-new-shingles-vaccination/article_f754aff9-5852-55b3-8191-01d148130b6f.html?utm_campaign=snd-autopilot&utm_medium=social&utm_source=twitter_dhnews,,,,,,,dear dr. roach: is there any risk staing the two-step process for the new shingles vaccines given the covid-19 virus? my husband had the original shingles vaccines and he has also contracted shingles. should he get the new vaccines he
491,492,Yes,1281265890835795971,Thu Jul 09 16:36:07 +0000 2020,Bethany Blankley,BethanyBlankley,"writer@TheCenterSquare, Patheos/Hedgerow, Christian Headlines, political analyst Fox News, other radio outlets",Sweet Land of Liberty?,"Philly Shootings Surge As 23 People Were Shot In a Single Day

Police statistics: 210 homicides, ⬆️27% year over year. On pace for highest annual murder tally since 1997

888 people shot in Philly this year thru July 5, ⬆️27% yr over yr &amp; ⬆️65% from 2015

https://t.co/CM4mbJ0V4O",0,0,0,0,,,,,,,,,,,"philly shootings surge as 23 people were shot in a single day police statistics: 210 homicides, 27% year over year. on pace for highest annual murder tally since 1997 888 people shot in philly this year thru july 5, 27% yr over yr &amp; 65% from 2015"
492,493,No,1281265891175477254,Thu Jul 09 16:36:07 +0000 2020,Michael Bielawski,TrueNorthMikeB,I'm a journalist who focuses on news not covered by the mainstream media. I currently reside in Vermont and so my stories focus on such.,"Montpelier, VT","While top Vermont politicians such as Lt. Gov. David Zuckerman support mandatory COVID shots, new data reveals 30 percent drop in infant mortality while regular doctor visits ceased during the lockdown.

#vtpoli https://t.co/PbR9vIGC0b",0,0,0,0,https://t.co/Brhvu1s2BZ,https://twitter.com/i/web/status/1281265891175477254,,,,,,,,,"while top vermont politicians such as lt. gov. david zuckerman suppo mandatory covid shots, new data reveals 30 percent drop in infant moality while regular doctor visits ceased during the lockdown."
493,494,No,1281265915900936196,Thu Jul 09 16:36:13 +0000 2020,Christina Blackcloud,wanasattia,"Community Leader, Native American, Democratic Nominee for Iowa House District 72.",,"Taxpayer money went into the research and production of a vaccine. Big Pharma should not be allowed to price gouge the vaccine once developed.

 https://t.co/x2RTjscmdZ",0,0,0,0,https://t.co/4KFBV9ONb6,https://twitter.com/i/web/status/1281265915900936196,https://t.co/x2RTjscmdZ,https://www.nytimes.com/2020/07/06/opinion/coronavirus-vaccine-cost.html#click=https://t.co/yAh8tFjpep,,,,,,,taxpayer money went into the research and production of a vaccines big pharma should not be allowed to price gouge the vaccines once developed.
494,495,Yes,1281265950277414912,Thu Jul 09 16:36:21 +0000 2020,Cissy,3Cissy,,,"Even with a flu vaccine, the flu is still more dangerous to children than COVID. Yet the people insisting that we keep schools closed for COVID never suggested that for the flu. The idea was never raised by any of these people. Thats why it's impossible to take them seriously now",0,0,0,0,,,,,,,,,,,even with a flu vaccines the flu is still more dangerous to children than covid. yet the people insisting that we keep schools closed for covid never suggested that for the flu. the idea was never raised by any of these people. thats why it's impossible to take them seriously now
495,496,Yes,1281265950495354880,Thu Jul 09 16:36:22 +0000 2020,Kit♥Jobson/CanadaKit,KitJobson,"In Kit's Kit; Canadian Girl who Writes,Models/tv,QuasiFoodie♥Wine,♥Music&Arts,♥Equine, &L♥vs My Family/Pals Dearly!!Ask2Know more!Fiat Lux 2u♥!","Calgary, Canada &Beyond☀",The COVID-19 Economic Response Plan is the most comprehensive and substantial peacetime investment in Canada’s history: helping families and businesses through this challenging time. Read the full Economic and Fiscal Snapshot here: https://t.co/AtsRJul1Vb https://t.co/tFQxXW9qqP,0,0,0,0,,,,,,,,,,,the covid-19 economic response plan is the most comprehensive and substantial peacetime investment in canadas history: helping families and businesses through this challenging time. read the full economic and fiscal snapshot here:
496,497,Yes,1281265953574137856,Thu Jul 09 16:36:22 +0000 2020,SAChallenger,challengersma,Proud black Trump supporter. Liberalism was created as a joke that became a reality when fools adopted it. Just point at them and laugh because fools deserve it,"Michigan, USA","Philly Shootings Surge As 23 People Were Shot In a Single Day

Police statistics: 210 homicides, ⬆️27% year over year. On pace for highest annual murder tally since 1997

888 people shot in Philly this year thru July 5, ⬆️27% yr over yr &amp; ⬆️65% from 2015

https://t.co/CM4mbJ0V4O",0,0,0,0,,,,,,,,,,,"philly shootings surge as 23 people were shot in a single day police statistics: 210 homicides, 27% year over year. on pace for highest annual murder tally since 1997 888 people shot in philly this year thru july 5, 27% yr over yr &amp; 65% from 2015"
497,498,Yes,1281265953641320448,Thu Jul 09 16:36:22 +0000 2020,Anoni Maus Ⓥ 🌊,Ginafurlynn,"Taking the country back is code for when women, minorities, & gays, knew their place, in the kitchen, fields, & closet.- @bwcjmc  #UniteBlue",Russia Minor = U.S. with Trump,@senatemajldr Don't forget the GOP Senators who spent July Fourth 2018 in Russia asking Putin to not interfere in 2018 elections - while the GOP has shot down every bill offered to provide election security. Don't forget KY GOP polling place closures to promote Covid infections while voting.,0,0,0,0,,,,,,,,,,,don't forget the gop senators who spent july fouh 2018 in russia asking putin to not interfere in 2018 elections - while the gop has shot down every bill offered to provide election security. don't forget ky gop polling place closures to promote covid infections while voting.
498,499,Yes,1281265958552834048,Thu Jul 09 16:36:23 +0000 2020,borderactionnow,borderactionnow,"⭐️⭐️MAGA⭐️⭐️ 🇺🇸 Secure Our Borders ✝️ Conservative Faith Action Group 💯 President Trump 🤔 For Common Sense, Against Nonsense 🙏 IN GOD ALONE WE TRUST",United States of America,"I thought I heard it all, apparently not. If Trump doesn't win in Nov we're all doomed.I'm sure some'll say it's a conspiracy,but #QAnons know better. These ppl are evil. #COVID19 #vaccines #Trump2020 #WakeUpAmerica #QAnon #WWG1GWA #WWG1WGA #WWG1WGAWORLDWIDE https://t.co/ZpK3FKjhXe",0,0,0,0,,,,,,,,,,,"i thought i heard it all, apparently not. if trump doesn't win in nov we're all doomed.i'm sure some'll say it's a conspiracy,but know better. these ppl are evil."
499,500,Yes,1281265963242082306,Thu Jul 09 16:36:25 +0000 2020,Misty Sinistore,misty_sinistore,I’m fun honest and loyal to friends and family love the outdoors animals and archery,,"Blame the victim reporting here. Instead of looking at the several problems around the shot, its rushed safety testing,  poor science rampant in the field, never-before tried RNA/DNA platform, Bloomberg frames people who question it as THE issue. Nice try https://t.co/ATulaZGi8a",0,0,0,0,,,,,,,,,,,"blame the victim repoing here. instead of looking at the several problems around the shot, its rushed safety testing, poor science rampant in the field, never-before tried rna/dna platform, bloomberg frames people who question it as the issue. nice try"
500,501,No,1281265970116308992,Thu Jul 09 16:36:26 +0000 2020,Sue Sullivan,Sue_Sullivan,"I'm fascinated by politics & social change. I think overall things improve over time. I share what I find interesting, not necessarily what I agree with","Albuquerque, New Mexico, USA","“these drugs too will need more testing before their safety and efficacy can be proven. But the timeline for testing these drugs is much shorter than for a vaccine, in large part due to how quickly and easily their efficacy can be determined.” https://t.co/tYb4YZTJ8o",0,0,0,0,https://t.co/FF2Nxmybpi,https://twitter.com/i/web/status/1281265970116308992,https://t.co/tYb4YZTJ8o,https://www.cnn.com/2020/07/08/opinions/covid-19-treatment-reason-for-hope-haseltine/index.html,,,,,,,these drugs too will need more testing before their safety and efficacy can be proven. but the timeline for testing these drugs is much shoer than for a vaccines in large pa due to how quickly and easily their efficacy can be determined.
501,502,Yes,1281265970741460992,Thu Jul 09 16:36:26 +0000 2020,bahizi garuka,BGaruka,The profile photo: $$$ Bisate Rwanda's first genuinely luxurious and eco-sensitive safari lodge.🇷🇼,,"A new Centre of Excellence in Rwanda will be a boon for sustainable cold chains, essential to respond to #COVID19. As we #BuildBackBetter, sustainable cooling can help deliver vaccines, ensure food supply,  reboot economies and deliver on #ClimateAction. 
https://t.co/K76gEfyZme",0,0,0,0,,,,,,,,,,,"a new centre of excellence in rwanda will be a boon for sustainable cold chains, essential to respond to as we sustainable cooling can help deliver vaccines ensure food supply, reboot economies and deliver on"
502,503,Yes,1281265975904485384,Thu Jul 09 16:36:28 +0000 2020,ASHWINI TRIPATHI,ASHWINI03049738,,"Patel Nagar, New Delhi","India’s pharma industry is an asset not just for India but the entire world. Indian vaccines account for two-third of the vaccine needs of the children globally.

Our companies are active in collaboration with international efforts for development &amp; production of COVID19 vaccine. https://t.co/tVqfi9cHJn",0,0,0,0,,,,,,,,,,,indias pharma industry is an asset not just for india but the entire world. indian vaccines account for two-third of the vaccines needs of the children globally. our companies are active in collaboration with international effos for development &amp; production of covid19 vaccines
503,504,Yes,1281265992082096129,Thu Jul 09 16:36:31 +0000 2020,Azad Bhagat,ShivajiPratap84,,,"India’s pharma industry is an asset not just for India but the entire world. Indian vaccines account for two-third of the vaccine needs of the children globally.

Our companies are active in collaboration with international efforts for development &amp; production of COVID19 vaccine. https://t.co/JvXfuNVkxv",0,0,0,0,,,,,,,,,,,indias pharma industry is an asset not just for india but the entire world. indian vaccines account for two-third of the vaccines needs of the children globally. our companies are active in collaboration with international effos for development &amp; production of covid19 vaccines
504,505,No,1281266001338908673,Thu Jul 09 16:36:34 +0000 2020,"Amy, but arrest the cops who killed Breonna Taylor",amy_shee,the Jewish woman version of the therapist from Silver Linings Playbook who still hasn’t given her mother grandchildren,philly special,Good grief just cancel sports until there’s a vaccine,0,0,0,0,,,,,,,,,,,good grief just cancel spos until theres a vaccines
505,506,No,1281266003716927488,Thu Jul 09 16:36:34 +0000 2020,AppaloosaKid,AppaloosaKid,Lucky gal with awesome son and 2 fantastic grandsons; former horse owner and Intel analyst; native of Maryland; college grad and a coal miner's granddaughter.,,"Technology/investors/manufacturing/biz/government/etc MUST jump on HVAC/air filtration/purification etc to fight airborne Covid in all types of buildings. Behaviors/masks, vaccine etc not enough. Costs to entities far less than damage from pandemic. The answer is there!",0,0,0,0,https://t.co/mu9n9EQOZM,https://twitter.com/i/web/status/1281266003716927488,,,,,,,,,"technology/investors/manufacturing/biz/government/etc must jump on hvac/air filtration/purification etc to fight airborne covid in all types of buildings. behaviors/masks, vaccines etc not enough. costs to entities far less than damage from pandemic. the answer is there!"
506,507,No,1281266004253765633,Thu Jul 09 16:36:34 +0000 2020,matt,miningstockpicz,"Trader, investor",vancouver B.C,"markets should be crashing. Covid spreading like crazy with no end in sight. a vaccine will only work for a few months, if anyboby actually takes it. then second wave in the fall, along with change in govt, and battles with China.+govt cuts off help to Biz that never comes back",0,0,0,0,https://t.co/QxoNoUS19G,https://twitter.com/i/web/status/1281266004253765633,,,,,,,,,"markets should be crashing. covid spreading like crazy with no end in sight. a vaccines will only work for a few months, if anyboby actually takes it. then second wave in the fall, along with change in govt, and battles with china.+govt cuts off help to biz that never comes back"
507,508,Yes,1281266008502738950,Thu Jul 09 16:36:35 +0000 2020,Kevin Reitz,KR155150,,,"CNN: Even without a Covid-19 vaccine, there's reason for hope.
https://t.co/NMJrLAfdgW

via @GoogleNews",0,0,0,0,https://t.co/NMJrLAfdgW,https://www.cnn.com/2020/07/08/opinions/covid-19-treatment-reason-for-hope-haseltine/index.html,,,,,,,,,cnn: even without a covid-19 vaccines there's reason for hope. via
